q_count,delta
10,0.7541548013687134
11,0.7705631852149963
12,0.7814422845840454
13,0.7664156556129456
14,0.8363860845565796
15,0.8555516600608826
16,0.8251170516014099
17,0.7866162061691284
18,0.7807011008262634
19,0.7755298018455505
20,0.7634110450744629
21,0.7684462070465088
22,0.7607561945915222
23,0.7667282223701477
24,0.8553362488746643
25,0.7520443797111511
26,0.8090139031410217
27,0.8046378493309021
28,0.7950716614723206
29,0.79994136095047
30,0.7942408323287964
31,0.7921845316886902
32,0.7856337428092957
33,0.7713700532913208
34,0.769771933555603
35,0.7621035575866699
36,0.7553001642227173
37,0.7896926999092102
38,0.7706564664840698
39,0.771630585193634
40,0.7816632390022278
41,0.7636302709579468
42,0.7706809043884277
43,0.7618503570556641
44,0.7655723094940186
45,0.7550336718559265
46,0.7541075348854065
47,0.7437608242034912
48,0.7468039989471436
49,0.7486903071403503
50,0.7510271072387695
51,0.7402969598770142
52,0.7526848912239075
53,0.7481244802474976
54,0.7424525022506714
55,0.7355132699012756
56,0.7232545018196106
57,0.7290951013565063
58,0.7269917130470276
59,0.7321320176124573
60,0.7220650911331177
61,0.7191459536552429
62,0.7043617367744446
63,0.7129108905792236
64,0.7049868702888489
65,0.7157251238822937
66,0.7041664719581604
67,0.7069184184074402
68,0.7045921087265015
69,0.7005587816238403
70,0.7047263979911804
71,0.6961115002632141
72,0.6896829009056091
